   ,Rack no.,,MATINGS,HISTORY,,,CAGE COUNT:,,,21,SAC ANIMAL: Ctrl + D,,,,,,,
SAC,,Cage Tag,Unique ID,Mouseline,ID,Sex,Ear notch,Genotype,DOB,Age,Designation,CAGE COUNTER,,,,,,
1,B6,58CM,Syt7_58C_M4_,Syt7,58C,M4,,-/-,6/1/2022,64,PG,0,,,,,,
1,B6,61AM,Syt7_61A_M1_,Syt7,61A,M1,,,6/11/2022,54,,1,,COLLECT TISSUE,,,,
1,B6,61AM,Syt7_61A_M2_,Syt7,61A,M2,,,6/11/2022,54,,0,,,,,,
1,B6,61AM,Syt7_61A_M3_,Syt7,61A,M3,,,6/11/2022,54,,0,,,,,,
1,B6,59BM,Syt7_59B_M2_,Syt7,59B,M1,,-/-,6/25/2022,40,PG,1,,,,,,
1,B6,59BM,Syt7_59B_M3_,Syt7,59B,M2,,-/-,6/25/2022,40,PG,0,,,,,,
1,B6,59BM,Syt7_59B_M4_,Syt7,59B,M3,,-/-,6/25/2022,40,PG,0,,,,,,
1,B6,59BM,Syt7_59B_F1_,Syt7,59B,M4,,-/-,6/25/2022,40,PG,0,,,,,,
1,B6,58DF,Syt7_58D_F2_,Syt7,58D,F1,,-/-,7/12/2022,23,PG,1,,,,,,
1,B6,58DF,Syt7_58D_F3_,Syt7,58D,F2,,-/-,7/12/2022,23,PG,0,,,,,,
1,B6,58DF,Syt7_58D_F4_,Syt7,58D,F3,,-/-,7/12/2022,23,PG,0,,,,,,
1,B6,58DF,Syt7_58D_M1_,Syt7,58D,F4,,-/-,7/12/2022,23,PG,0,,,,,,
1,B6,58DF,Syt7_58D_M2_,Syt7,58D,F5,,-/-,7/12/2022,23,PG,0,,,,,,
1,B6,58DM,Syt7_58D__,Syt7,58D,M1,,-/-,7/12/2022,23,PG,1,,,,,,
1,B6,58DM,Syt7_58D__,Syt7,58D,M2,,-/-,7/12/2022,23,PG,0,,,,,,
,,,Syt7___,Syt7,,,,,,-,,,,,,,,
,,,Syt7___,Syt7,,,,,,-,,,,,,,,
,,,Syt7___,Syt7,,,,,,-,,,,,,,,
,,,,Syt7,,,,,,,,,,,,,,
